da_ente;da_tipo;da_valor
81715955;CUSTOMER_OFFICE;178
81715955;MANAGER_ASSISTANT;30
81715955;PUBLIC_FIGURE;N
81715955;RISK_TYPE;PN1
82145257;CUSTOMER_OFFICE;238
82145257;MANAGER_ASSISTANT;32
82145257;PUBLIC_FIGURE;N
82145257;RISK_TYPE;PN3
78534524;CUSTOMER_OFFICE;180
78534524;DEPOSITOS_MENSUALES;
78534524;EJECUTIVO_VENTA;23
78534524;HIGH_RISK_SCORE;BJ
78534524;MANAGER_ASSISTANT;37
78534524;PUBLIC_FIGURE;N
78534524;RETIROS_MENSUALES;
78534524;RISK_TYPE;GOB
78534524;TIER_CADD;
78534524;WATCH_LIST_CODE;
78534559;CUSTOMER_OFFICE;174
78534559;DEPOSITOS_MENSUALES;
78534559;EJECUTIVO_VENTA;18
78534559;HIGH_RISK_SCORE;BJ
78534559;KYC_CUSTOMER;s
78534559;MANAGER_ASSISTANT;34
78534559;PUBLIC_FIGURE;N
78534559;RETIROS_MENSUALES;
78534559;RISK_TYPE;PJA
78534559;TIER_CADD;
78534559;WATCH_LIST_CODE;
80169833;CUSTOMER_OFFICE;238
80169833;HIGH_RISK_SCORE;AL
80169833;MANAGER_ASSISTANT;32
80169833;PUBLIC_FIGURE;N
80169833;RISK_TYPE;PN3
78737832;CUSTOMER_OFFICE;238
78737832;MANAGER_ASSISTANT;32
78737832;PUBLIC_FIGURE;N
78737832;RISK_TYPE;PN1
78768622;CUSTOMER_OFFICE;182
78768622;MANAGER_ASSISTANT;29
78768622;PUBLIC_FIGURE;N
78768622;RISK_TYPE;PN1
80309953;CUSTOMER_OFFICE;174
80309953;MANAGER_ASSISTANT;34
80309953;PUBLIC_FIGURE;N
80309953;RISK_TYPE;PN1
80379188;CUSTOMER_OFFICE;180
80379188;HIGH_RISK_SCORE;BJ
80379188;KYC_CUSTOMER;S
80379188;MANAGER_ASSISTANT;37
80379188;PUBLIC_FIGURE;N
80379188;RISK_TYPE;PN1
80852088;CUSTOMER_OFFICE;174
80852088;DEPOSITOS_MENSUALES;
80852088;EJECUTIVO_VENTA;18
80852088;HIGH_RISK_SCORE;BJ
80852088;KYC_CUSTOMER;S
80852088;MANAGER_ASSISTANT;32
80852088;PUBLIC_FIGURE;N
80852088;RETIROS_MENSUALES;
80852088;RISK_TYPE;PN1
80852088;TIER_CADD;
80852088;WATCH_LIST_CODE;
81161011;CUSTOMER_OFFICE;178
81161011;MANAGER_ASSISTANT;30
81161011;PUBLIC_FIGURE;N
81161011;RISK_TYPE;PN1
81383480;CUSTOMER_OFFICE;178
81383480;MANAGER_ASSISTANT;30
81383480;PUBLIC_FIGURE;N
81383480;RISK_TYPE;PN1
81417016;CUSTOMER_OFFICE;174
81417016;EJECUTIVO_VENTA;18
81417016;HIGH_RISK_SCORE;BJ
81417016;KYC_CUSTOMER;S
81417016;MANAGER_ASSISTANT;34
81417016;PUBLIC_FIGURE;N
81417016;RISK_TYPE;PN1
81608288;CUSTOMER_OFFICE;182
81608288;EJECUTIVO_VENTA;44
81608288;HIGH_RISK_SCORE;BJ
81608288;MANAGER_ASSISTANT;29
81608288;PUBLIC_FIGURE;N
81608288;RISK_TYPE;PN1
78534737;CUSTOMER_OFFICE;172
78534737;DEPOSITOS_MENSUALES;
78534737;EJECUTIVO_VENTA;19
78534737;HIGH_RISK_SCORE;BJ
78534737;KYC_CUSTOMER;0
78534737;MANAGER_ASSISTANT;35
78534737;PUBLIC_FIGURE;N
78534737;RETIROS_MENSUALES;
78534737;RISK_TYPE;PJA
78534737;TIER_CADD;
78534737;WATCH_LIST_CODE;
78560550;CUSTOMER_OFFICE;182
78560550;DEPOSITOS_MENSUALES;
78560550;EJECUTIVO_VENTA;15
78560550;HIGH_RISK_SCORE;BJ
78560550;KYC_CUSTOMER;s
78560550;MANAGER_ASSISTANT;34
78560550;PUBLIC_FIGURE;N
78560550;RETIROS_MENSUALES;
78560550;RISK_TYPE;PJA
78560550;TIER_CADD;
78560550;WATCH_LIST_CODE;
78803258;CUSTOMER_OFFICE;174
78803258;EJECUTIVO_VENTA;5443
78803258;HIGH_RISK_SCORE;BJ
78803258;KYC_CUSTOMER;S
78803258;MANAGER_ASSISTANT;34
78803258;PUBLIC_FIGURE;N
78803258;RISK_TYPE;PN3
79634859;CUSTOMER_OFFICE;174
79634859;DEPOSITOS_MENSUALES;
79634859;EJECUTIVO_VENTA;91
79634859;HIGH_RISK_SCORE;BJ
79634859;KYC_CUSTOMER;S
79634859;LOGIN COBIS;
79634859;MANAGER_ASSISTANT;34
79634859;PUBLIC_FIGURE;N
79634859;RETIROS_MENSUALES;
79634859;RISK_TYPE;PN3
79634859;TIER_CADD;
79634859;WATCH_LIST_CODE;
79884545;CUSTOMER_OFFICE;174
79884545;HIGH_RISK_SCORE;BJ
79884545;KYC_CUSTOMER;S
79884545;MANAGER_ASSISTANT;34
79884545;PUBLIC_FIGURE;N
79884545;RISK_TYPE;PN3
79936405;CUSTOMER_OFFICE;186
79936405;HIGH_RISK_SCORE;BJ
79936405;KYC_CUSTOMER;S
79936405;MANAGER_ASSISTANT;33
79936405;PUBLIC_FIGURE;N
79936405;RISK_TYPE;PN1
79967700;CUSTOMER_OFFICE;174
79967700;DEPOSITOS_MENSUALES;
79967700;EJECUTIVO_VENTA;
79967700;HIGH_RISK_SCORE;BJ
79967700;KYC_CUSTOMER;S
79967700;LOGIN COBIS;
79967700;MANAGER_ASSISTANT;34
79967700;PUBLIC_FIGURE;N
79967700;RETIROS_MENSUALES;
79967700;RISK_TYPE;PN1
79967700;TIER_CADD;
79967700;WATCH_LIST_CODE;
80483430;CUSTOMER_OFFICE;174
80483430;MANAGER_ASSISTANT;34
80483430;PUBLIC_FIGURE;N
80483430;RISK_TYPE;PN1
78803258;WATCH_LIST_CODE;
80976038;CUSTOMER_OFFICE;180
80976038;EJECUTIVO_VENTA;37
80976038;HIGH_RISK_SCORE;BJ
80976038;MANAGER_ASSISTANT;37
80976038;PUBLIC_FIGURE;N
80976038;RISK_TYPE;PN3
81432112;CUSTOMER_OFFICE;174
81432112;MANAGER_ASSISTANT;34
81432112;PUBLIC_FIGURE;N
81432112;RISK_TYPE;PN3
82335803;CUSTOMER_OFFICE;174
82335803;EJECUTIVO_VENTA;18
82335803;HIGH_RISK_SCORE;BJ
82335803;MANAGER_ASSISTANT;34
82335803;PUBLIC_FIGURE;N
82335803;RISK_TYPE;PN1
78548231;CUSTOMER_OFFICE;172
78548231;DEPOSITOS_MENSUALES;
78548231;EJECUTIVO_VENTA;27
78548231;HIGH_RISK_SCORE;BJ
78548231;MANAGER_ASSISTANT;35
78548231;PUBLIC_FIGURE;N
78548231;RETIROS_MENSUALES;
78548231;RISK_TYPE;GOB
78548231;TIER_CADD;
78548231;WATCH_LIST_CODE;
78560967;CUSTOMER_OFFICE;182
78560967;DEPOSITOS_MENSUALES;
78560967;EJECUTIVO_VENTA;15
78560967;HIGH_RISK_SCORE;BJ
78560967;KYC_CUSTOMER;s
78560967;MANAGER_ASSISTANT;29
78560967;PUBLIC_FIGURE;N
78560967;RETIROS_MENSUALES;
78560967;RISK_TYPE;PJA
78560967;TIER_CADD;
78560967;WATCH_LIST_CODE;
78560975;CUSTOMER_OFFICE;178
78560975;DEPOSITOS_MENSUALES;
78560975;EJECUTIVO_VENTA;15
78560975;HIGH_RISK_SCORE;BJ
78560975;MANAGER_ASSISTANT;30
78560975;PUBLIC_FIGURE;N
78560975;RETIROS_MENSUALES;
78560975;RISK_TYPE;PJA
78560975;TIER_CADD;
78560975;WATCH_LIST_CODE;
78560304;CUSTOMER_OFFICE;174
78560304;DEPOSITOS_MENSUALES;
78560304;EJECUTIVO_VENTA;18
78560304;HIGH_RISK_SCORE;BJ
78560304;KYC_CUSTOMER;s
78560304;MANAGER_ASSISTANT;34
78560304;PUBLIC_FIGURE;N
78560304;RETIROS_MENSUALES;
78560304;RISK_TYPE;PJA
78560304;TIER_CADD;
78560304;WATCH_LIST_CODE;
78562200;CUSTOMER_OFFICE;172
78562200;MANAGER_ASSISTANT;35
78562200;PUBLIC_FIGURE;N
78562200;RISK_TYPE;PJA
78562196;CUSTOMER_OFFICE;172
78562196;DEPOSITOS_MENSUALES;
78562196;EJECUTIVO_VENTA;22
78562196;HIGH_RISK_SCORE;AL
78562196;KYC_CUSTOMER;0
78562196;MANAGER_ASSISTANT;35
78562196;PUBLIC_FIGURE;N
78562196;RETIROS_MENSUALES;
78562196;RISK_TYPE;PJA
78562196;TIER_CADD;
78562196;WATCH_LIST_CODE;S
78562218;CUSTOMER_OFFICE;186
78562218;MANAGER_ASSISTANT;33
78562218;PUBLIC_FIGURE;N
78562218;RISK_TYPE;PJA
78562226;CUSTOMER_OFFICE;174
78562226;DEPOSITOS_MENSUALES;
78562226;EJECUTIVO_VENTA;99
78562226;HIGH_RISK_SCORE;AL
78562226;KYC_CUSTOMER;s
78562226;MANAGER_ASSISTANT;34
78562226;PUBLIC_FIGURE;N
78562226;RETIROS_MENSUALES;
78562226;RISK_TYPE;PJA
78562226;TIER_CADD;
78562226;WATCH_LIST_CODE;S
78562625;CUSTOMER_OFFICE;172
78562625;MANAGER_ASSISTANT;35
78562625;PUBLIC_FIGURE;N
78562625;RISK_TYPE;PJA
78562633;CUSTOMER_OFFICE;172
78562633;DEPOSITOS_MENSUALES;
78562633;EJECUTIVO_VENTA;44
78562633;HIGH_RISK_SCORE;BJ
78562633;MANAGER_ASSISTANT;35
78562633;PUBLIC_FIGURE;N
78562633;RETIROS_MENSUALES;
78562633;RISK_TYPE;PJA
78562633;TIER_CADD;
78562633;WATCH_LIST_CODE;
78641061;CUSTOMER_OFFICE;238
78641061;EJECUTIVO_VENTA;19
78641061;HIGH_RISK_SCORE;BJ
78641061;MANAGER_ASSISTANT;32
78641061;PUBLIC_FIGURE;N
78641061;RISK_TYPE;PN1
82390642;CUSTOMER_OFFICE;178
82390642;MANAGER_ASSISTANT;30
82390642;PUBLIC_FIGURE;N
82390642;RISK_TYPE;PN1
81065438;CUSTOMER_OFFICE;174
78803258;APODERADO_SI_NO;N
81065438;MANAGER_ASSISTANT;34
81065438;PUBLIC_FIGURE;N
81065438;RISK_TYPE;PN1
81411352;CUSTOMER_OFFICE;174
81411352;MANAGER_ASSISTANT;34
81411352;PUBLIC_FIGURE;N
81411352;RISK_TYPE;PN1
81679754;CUSTOMER_OFFICE;178
81679754;EJECUTIVO_VENTA;15
81679754;HIGH_RISK_SCORE;BJ
81679754;KYC_CUSTOMER;S
81679754;MANAGER_ASSISTANT;30
81679754;PUBLIC_FIGURE;N
81679754;RISK_TYPE;PN3
78881070;CUSTOMER_OFFICE;192
78881070;EJECUTIVO_VENTA;52
78881070;HIGH_RISK_SCORE;BJ
78881070;KYC_CUSTOMER;S
78881070;MANAGER_ASSISTANT;21
78881070;PUBLIC_FIGURE;N
78881070;RISK_TYPE;PN1
79039241;CUSTOMER_OFFICE;174
79039241;EJECUTIVO_VENTA;47
79039241;HIGH_RISK_SCORE;BJ
79039241;KYC_CUSTOMER;S
79039241;MANAGER_ASSISTANT;34
79039241;PUBLIC_FIGURE;N
79039241;RISK_TYPE;PN1
80365705;CUSTOMER_OFFICE;174
80365705;MANAGER_ASSISTANT;34
80365705;PUBLIC_FIGURE;N
80365705;RISK_TYPE;PN1
80365683;CUSTOMER_OFFICE;284
80365683;DEPOSITOS_MENSUALES;
80365683;EJECUTIVO_VENTA;21
80365683;HIGH_RISK_SCORE;AL
80365683;KYC_CUSTOMER;S
80365683;LOGIN COBIS;
80365683;MANAGER_ASSISTANT;34
80365683;PUBLIC_FIGURE;S
80365683;RETIROS_MENSUALES;
80365683;RIESGO_COLABORADOR;N/A
80365683;RISK_TYPE;PEP
80365683;TIER_CADD;
80365683;WATCH_LIST_CODE;S
82309870;CUSTOMER_OFFICE;174
82309870;MANAGER_ASSISTANT;34
82309870;PUBLIC_FIGURE;N
82309870;RISK_TYPE;PN1
78604204;CUSTOMER_OFFICE;174
78604204;DEPOSITOS_MENSUALES;
78604204;EJECUTIVO_VENTA;18
78604204;HIGH_RISK_SCORE;BJ
78604204;KYC_CUSTOMER;S
78604204;MANAGER_ASSISTANT;34
78604204;PUBLIC_FIGURE;N
78604204;LOGIN COBIS;
78604204;RESP_AGENTE_EXTR;N
78604204;RETIROS_MENSUALES;
78604204;RISK_TYPE;PN1
78604204;TIER_CADD;
78604204;WATCH_LIST_CODE;
78607513;CUSTOMER_OFFICE;172
78607513;MANAGER_ASSISTANT;35
78607513;PUBLIC_FIGURE;N
78607513;RISK_TYPE;PN1
78646640;CUSTOMER_OFFICE;180
78646640;MANAGER_ASSISTANT;37
78646640;PUBLIC_FIGURE;N
78646640;RISK_TYPE;PN1
78786191;CUSTOMER_OFFICE;192
78786191;EJECUTIVO_VENTA;52
78786191;HIGH_RISK_SCORE;BJ
78786191;KYC_CUSTOMER;S
78786191;MANAGER_ASSISTANT;21
78786191;PUBLIC_FIGURE;N
78786191;RISK_TYPE;PN1
78830867;CUSTOMER_OFFICE;174
78830867;HIGH_RISK_SCORE;BJ
78830867;MANAGER_ASSISTANT;34
78830867;PUBLIC_FIGURE;N
78830867;RISK_TYPE;PN3
78866209;CUSTOMER_OFFICE;172
78866209;EJECUTIVO_VENTA;56
78866209;HIGH_RISK_SCORE;BJ
78866209;MANAGER_ASSISTANT;35
78866209;PUBLIC_FIGURE;N
78866209;RISK_TYPE;PN3
78873884;CUSTOMER_OFFICE;172
78873884;EJECUTIVO_VENTA;61
78873884;HIGH_RISK_SCORE;BJ
78873884;KYC_CUSTOMER;S
78873884;MANAGER_ASSISTANT;35
78873884;PUBLIC_FIGURE;N
78873884;RISK_TYPE;PN1
78919086;CUSTOMER_OFFICE;174
78919086;MANAGER_ASSISTANT;34
78919086;PUBLIC_FIGURE;N
78919086;RISK_TYPE;PN1
78996021;CUSTOMER_OFFICE;184
78996021;EJECUTIVO_VENTA;58
78996021;HIGH_RISK_SCORE;BJ
78996021;MANAGER_ASSISTANT;41
78996021;PUBLIC_FIGURE;N
78996021;RISK_TYPE;PN1
79119474;CUSTOMER_OFFICE;178
79119474;DEPOSITOS_MENSUALES;
79119474;HIGH_RISK_SCORE;BJ
79119474;KYC_CUSTOMER;S
79119474;MANAGER_ASSISTANT;30
79119474;PUBLIC_FIGURE;N
79119474;RETIROS_MENSUALES;
79119474;RISK_TYPE;PN3
79119474;TIER_CADD;
79119474;WATCH_LIST_CODE;
78604204;RIESGO_COLABORADOR;
79093360;CUSTOMER_OFFICE;180
79093360;MANAGER_ASSISTANT;37
79093360;PUBLIC_FIGURE;N
79093360;RISK_TYPE;PN1
79239089;CUSTOMER_OFFICE;172
79239089;EJECUTIVO_VENTA;304
79239089;HIGH_RISK_SCORE;BJ
79239089;KYC_CUSTOMER;S
79239089;MANAGER_ASSISTANT;35
79239089;PUBLIC_FIGURE;N
79239089;RISK_TYPE;PN1
79324949;CUSTOMER_OFFICE;174
79324949;EJECUTIVO_VENTA;18
79324949;HIGH_RISK_SCORE;BJ
79324949;KYC_CUSTOMER;S
79324949;MANAGER_ASSISTANT;34
79324949;PUBLIC_FIGURE;N
79324949;RISK_TYPE;PN3
79387789;CUSTOMER_OFFICE;174
79387789;EJECUTIVO_VENTA;18
79387789;HIGH_RISK_SCORE;BJ
79387789;MANAGER_ASSISTANT;34
79387789;PUBLIC_FIGURE;N
79387789;RISK_TYPE;PN1
79398900;CUSTOMER_OFFICE;174
79398900;EJECUTIVO_VENTA;18
79398900;HIGH_RISK_SCORE;BJ
79398900;KYC_CUSTOMER;S
79398900;MANAGER_ASSISTANT;34
79398900;PUBLIC_FIGURE;N
79398900;RISK_TYPE;PN1
79402109;CUSTOMER_OFFICE;174
79402109;MANAGER_ASSISTANT;34
79402109;PUBLIC_FIGURE;N
79402109;RISK_TYPE;PN1
79527750;CUSTOMER_OFFICE;174
79527750;MANAGER_ASSISTANT;34
79527750;PUBLIC_FIGURE;N
79527750;RISK_TYPE;PN1
79943630;CUSTOMER_OFFICE;184
79943630;DEPOSITOS_MENSUALES;
79943630;HIGH_RISK_SCORE;BJ
79943630;KYC_CUSTOMER;S
79943630;MANAGER_ASSISTANT;41
79943630;PUBLIC_FIGURE;N
79943630;RETIROS_MENSUALES;
79943630;RISK_TYPE;PN3
79943630;TIER_CADD;
79943630;WATCH_LIST_CODE;
79989193;CUSTOMER_OFFICE;172
79989193;EJECUTIVO_VENTA;56
79989193;HIGH_RISK_SCORE;BJ
79989193;KYC_CUSTOMER;S
79989193;MANAGER_ASSISTANT;35
79989193;PUBLIC_FIGURE;N
79989193;RISK_TYPE;PN1
79402109;KYC_CUSTOMER;S
79402109;HIGH_RISK_SCORE;BJ
79402109;APODERADO_SI_NO;N
80165340;CUSTOMER_OFFICE;174
80165340;MANAGER_ASSISTANT;34
80165340;PUBLIC_FIGURE;N
80165340;RISK_TYPE;PN1
80168551;CUSTOMER_OFFICE;178
80168551;EJECUTIVO_VENTA;15
80168551;HIGH_RISK_SCORE;BJ
80168551;MANAGER_ASSISTANT;30
80168551;PUBLIC_FIGURE;N
80168551;RISK_TYPE;PN3
80342551;CUSTOMER_OFFICE;180
80342551;MANAGER_ASSISTANT;37
80342551;PUBLIC_FIGURE;N
80342551;RISK_TYPE;PN1
80399820;CUSTOMER_OFFICE;172
80399820;MANAGER_ASSISTANT;35
80399820;PUBLIC_FIGURE;N
80399820;RISK_TYPE;PN1
80458231;CUSTOMER_OFFICE;192
80458231;MANAGER_ASSISTANT;21
80458231;PUBLIC_FIGURE;N
80458231;RISK_TYPE;PN1
80486421;CUSTOMER_OFFICE;284
80486421;DEPOSITOS_MENSUALES;
80486421;EJECUTIVO_VENTA;91
80486421;HIGH_RISK_SCORE;BJ
80486421;KYC_CUSTOMER;S
80486421;LOGIN COBIS;
80486421;MANAGER_ASSISTANT;34
80486421;PUBLIC_FIGURE;N
80486421;RETIROS_MENSUALES;
80486421;RISK_TYPE;PN3
80486421;TIER_CADD;
80486421;WATCH_LIST_CODE;
80970870;CUSTOMER_OFFICE;192
80970870;DEPOSITOS_MENSUALES;
80970870;EJECUTIVO_VENTA;53
80970870;HIGH_RISK_SCORE;BJ
80970870;KYC_CUSTOMER;S
80970870;MANAGER_ASSISTANT;21
80970870;PUBLIC_FIGURE;N
80970870;RETIROS_MENSUALES;
80970870;RISK_TYPE;PN1
80970870;TIER_CADD;
80970870;WATCH_LIST_CODE;
81268916;CUSTOMER_OFFICE;182
81268916;DEPOSITOS_MENSUALES;
81268916;EJECUTIVO_VENTA;304
81268916;HIGH_RISK_SCORE;BJ
81268916;KYC_CUSTOMER;S
81268916;LOGIN COBIS;
81268916;MANAGER_ASSISTANT;29
81268916;PUBLIC_FIGURE;N
81268916;RETIROS_MENSUALES;
81268916;RISK_TYPE;PN1
81268916;TIER_CADD;
81268916;WATCH_LIST_CODE;
79402109;WATCH_LIST_CODE;
79402109;TIER_CADD;
79402109;DEPOSITOS_MENSUALES;
79402109;LOGIN COBIS;
81104832;CUSTOMER_OFFICE;174
81104832;EJECUTIVO_VENTA;18
81104832;HIGH_RISK_SCORE;BJ
81104832;KYC_CUSTOMER;S
81104832;MANAGER_ASSISTANT;34
81104832;PUBLIC_FIGURE;N
81104832;RISK_TYPE;PN1
81109796;CUSTOMER_OFFICE;174
81109796;EJECUTIVO_VENTA;18
81109796;HIGH_RISK_SCORE;BJ
81109796;KYC_CUSTOMER;S
81109796;MANAGER_ASSISTANT;34
81109796;PUBLIC_FIGURE;N
81109796;RISK_TYPE;PN1
81157553;CUSTOMER_OFFICE;172
81157553;DEPOSITOS_MENSUALES;
81157553;EJECUTIVO_VENTA;0
81157553;HIGH_RISK_SCORE;BJ
81157553;KYC_CUSTOMER;S
81157553;MANAGER_ASSISTANT;35
81157553;PUBLIC_FIGURE;N
81157553;RETIROS_MENSUALES;
81157553;RISK_TYPE;PN1
81157553;TIER_CADD;
81157553;WATCH_LIST_CODE;
81157561;CUSTOMER_OFFICE;186
81157561;DEPOSITOS_MENSUALES;
81157561;EJECUTIVO_VENTA;17
81157561;HIGH_RISK_SCORE;BJ
81157561;LOGIN COBIS;
81157561;MANAGER_ASSISTANT;33
81157561;PUBLIC_FIGURE;N
81157561;RETIROS_MENSUALES;
81157561;RISK_TYPE;PN1
81157561;TIER_CADD;
81157561;WATCH_LIST_CODE;
81205779;CUSTOMER_OFFICE;174
81205779;EJECUTIVO_VENTA;305
81205779;HIGH_RISK_SCORE;BJ
81205779;KYC_CUSTOMER;S
81205779;MANAGER_ASSISTANT;34
81205779;PUBLIC_FIGURE;N
81205779;RISK_TYPE;PN1
81226997;CUSTOMER_OFFICE;178
81226997;MANAGER_ASSISTANT;30
81226997;PUBLIC_FIGURE;N
81226997;RISK_TYPE;PN1
81227829;CUSTOMER_OFFICE;186
81227829;DEPOSITOS_MENSUALES;
81227829;EJECUTIVO_VENTA;98
81227829;HIGH_RISK_SCORE;BJ
81227829;KYC_CUSTOMER;S
81227829;LOGIN COBIS;
81227829;MANAGER_ASSISTANT;33
81227829;PUBLIC_FIGURE;N
81227829;RETIROS_MENSUALES;
81227829;RISK_TYPE;PN1
79402109;RETIROS_MENSUALES;
79402109;EJECUTIVO_VENTA;
79402109;RIESGO_COLABORADOR;
81227829;TIER_CADD;
81227829;WATCH_LIST_CODE;
81549109;APODERADO_SI_NO;N
81549109;CUSTOMER_OFFICE;182
81549109;DEPOSITOS_MENSUALES;
81549109;EJECUTIVO_VENTA;304
81549109;HIGH_RISK_SCORE;BJ
81549109;KYC_CUSTOMER;S
81549109;LOGIN COBIS;
81549109;MANAGER_ASSISTANT;29
81549109;PUBLIC_FIGURE;N
81549109;RESP_AGENTE_EXTR;N
81549109;RETIROS_MENSUALES;
81549109;RIESGO_COLABORADOR;
81549109;RISK_TYPE;PN1
81549109;TIER_CADD;
81549109;WATCH_LIST_CODE;
81671591;CUSTOMER_OFFICE;238
81671591;MANAGER_ASSISTANT;32
81671591;PUBLIC_FIGURE;N
81671591;RISK_TYPE;PN1
81718326;CUSTOMER_OFFICE;174
81718326;DEPOSITOS_MENSUALES;
81718326;EJECUTIVO_VENTA;304
81718326;HIGH_RISK_SCORE;BJ
81718326;KYC_CUSTOMER;S
81718326;LOGIN COBIS;
81718326;MANAGER_ASSISTANT;34
81718326;PUBLIC_FIGURE;N
81718326;RETIROS_MENSUALES;
81718326;RISK_TYPE;PN1
81718326;TIER_CADD;
81718326;WATCH_LIST_CODE;
81747830;CUSTOMER_OFFICE;174
81747830;HIGH_RISK_SCORE;BJ
81747830;MANAGER_ASSISTANT;34
81747830;PUBLIC_FIGURE;N
81747830;RISK_TYPE;PN3
81891273;CUSTOMER_OFFICE;186
81891273;EJECUTIVO_VENTA;0
81891273;HIGH_RISK_SCORE;BJ
81891273;KYC_CUSTOMER;S
81891273;MANAGER_ASSISTANT;33
81891273;PUBLIC_FIGURE;N
81891273;RISK_TYPE;PN1
82032010;CUSTOMER_OFFICE;174
82032010;HIGH_RISK_SCORE;AL
82032010;MANAGER_ASSISTANT;34
82032010;PUBLIC_FIGURE;N
82032010;RISK_TYPE;PN1
82098550;CUSTOMER_OFFICE;184
82098550;MANAGER_ASSISTANT;41
82098550;PUBLIC_FIGURE;N
82098550;RISK_TYPE;PN1
82161350;CUSTOMER_OFFICE;172
82161350;HIGH_RISK_SCORE;BJ
82161350;MANAGER_ASSISTANT;35
79402109;RESP_AGENTE_EXTR;N
79872563;PUBLIC_FIGURE;N
79872563;RISK_TYPE;PN3
82161350;PUBLIC_FIGURE;N
82161350;RISK_TYPE;PN3
5843;CUSTOMER_OFFICE;238
5843;MANAGER_ASSISTANT;32
5843;PUBLIC_FIGURE;N
5843;RISK_TYPE;PN1
82186808;CUSTOMER_OFFICE;172
82186808;HIGH_RISK_SCORE;BJ
82186808;MANAGER_ASSISTANT;35
82186808;PUBLIC_FIGURE;N
82186808;RISK_TYPE;PN1
82292772;CUSTOMER_OFFICE;238
82292772;DEPOSITOS_MENSUALES;
82292772;EJECUTIVO_VENTA;19
82292772;HIGH_RISK_SCORE;BJ
82292772;KYC_CUSTOMER;S
82292772;MANAGER_ASSISTANT;32
82292772;PUBLIC_FIGURE;N
82292772;RETIROS_MENSUALES;
82292772;RISK_TYPE;PN1
82292772;TIER_CADD;
82292772;WATCH_LIST_CODE;
82446575;CUSTOMER_OFFICE;174
82446575;HIGH_RISK_SCORE;BJ
82446575;KYC_CUSTOMER;S
82446575;MANAGER_ASSISTANT;34
82446575;PUBLIC_FIGURE;N
82446575;RISK_TYPE;PN1
82141618;CUSTOMER_OFFICE;186
82141618;DEPOSITOS_MENSUALES;
82141618;EJECUTIVO_VENTA;17
82141618;HIGH_RISK_SCORE;BJ
82141618;KYC_CUSTOMER;S
82141618;LOGIN COBIS;
82141618;MANAGER_ASSISTANT;33
82141618;PUBLIC_FIGURE;N
